location,ksh,type,county,district,district_code,territory,population,number_of_households
Aba,17376,város,Fejér,Székesfehérvár,085 0,8801,4426,1545
Abádszalók,12441,város,Jász-Nagykun-Szolnok,Kunhegyes,164 0,13218,4279,2041
Abaliget,12548,község,Baranya,Pécs,028 0,1609,650,241
Abasár,24554,község,Heves,Gyöngyös,106 0,2082,2538,1189
Abaújalpár,15662,község,Borsod-Abaúj-Zemplén,Gönc,057 0,848,66,58
Abaújkér,26718,község,Borsod-Abaúj-Zemplén,Gönc,057 0,1727,631,291
Abaújlak,02820,község,Borsod-Abaúj-Zemplén,Szikszó,067 0,706,70,81
Abaújszántó,03595,város,Borsod-Abaúj-Zemplén,Gönc,057 0,4739,3062,1213
Abaújszolnok,26338,község,Borsod-Abaúj-Zemplén,Szikszó,067 0,867,183,59
Abaújvár,02273,község,Borsod-Abaúj-Zemplén,Gönc,057 0,735,250,140
Abda,11882,község,Győr-Moson-Sopron,Győr,087 0,1903,3117,1143
Abod,10357,község,Borsod-Abaúj-Zemplén,Edelény,055 0,3116,231,137
Abony,27872,város,Pest,Cegléd,124 0,12797,14563,6009
Ábrahámhegy,04561,község,Veszprém,Tapolca,189 0,1488,423,296
Ács,04428,város,Komárom-Esztergom,Komárom,112 0,10392,6771,2722
Acsa,18573,község,Pest,Vác,138 0,2694,1416,480
Acsád,07214,község,Vas,Szombathely,181 0,1433,651,183
Acsalag,33385,község,Győr-Moson-Sopron,Csorna,086 0,1043,493,220
Ácsteszér,18139,község,Komárom-Esztergom,Kisbér,111 0,1772,696,277
Adács,23241,község,Heves,Gyöngyös,106 0,3794,2642,1221
Ádánd,06080,község,Somogy,Siófok,146 0,2951,2125,851
Adásztevel,07302,község,Veszprém,Pápa,187 0,837,795,312
Adony,08925,város,Fejér,Dunaújváros,078 0,6103,3679,1557
Adorjánháza,31307,község,Veszprém,Devecser,186 0,1142,362,195
Adorjás,06868,község,Baranya,Sellye,030 0,810,180,62
Ág,25812,község,Baranya,Sásd,025 0,1203,189,65
Ágasegyháza,17686,község,Bács-Kiskun,Kecskemét,038 0,5587,1894,858
Ágfalva,04880,község,Győr-Moson-Sopron,Sopron,091 0,1307,2147,718
Aggtelek,09362,község,Borsod-Abaúj-Zemplén,Putnok,063 0,4381,557,241
Agyagosszergény,29407,község,Győr-Moson-Sopron,Kapuvár,088 0,1989,936,378
Ajak,08776,város,Szabolcs-Szatmár-Bereg,Kisvárda,153 0,2474,3730,1331
Ajka,06673,város,Veszprém,Ajka,183 1,9504,28487,12563
Aka,06682,község,Komárom-Esztergom,Kisbér,111 0,1809,243,109
Akasztó,21944,község,Bács-Kiskun,Kiskőrös,039 0,6488,3333,1557
